scene_id,im_id,obj_id,score,R,t,time
1,114,1,1.0,0.9931249022483826 0.022043175995349884 -0.11496468633413315 -0.112246572971344 -0.09937573224306107 -0.9886987805366516 -0.033218760043382645 0.9948058128356934 -0.09621826559305191,-7.430865429341793 -114.09085243940353 461.96091175079346,-1
1,114,2,1.0,0.0699448212981224 -0.9864119291305542 0.14865799248218536 0.9479364156723022 0.019311174750328064 -0.3178737461566925 0.3106836974620819 0.16315194964408875 0.9364064931869507,-70.68876177072525 -80.96407353878021 359.53211784362793,-1
1,114,3,1.0,-0.8108809590339661 0.3828253746032715 0.4426249563694 -0.5392321944236755 -0.7826471328735352 -0.31095385551452637 0.22737808525562286 -0.4908241927623749 0.8410654067993164,-258.0849230289459 -131.6009908914566 525.6097912788391,-1
1,114,4,1.0,0.676537036895752 -0.6925297975540161 0.25040051341056824 -0.24964295327663422 -0.5355756878852844 -0.8067448735237122 0.692803144454956 0.48328208923339844 -0.5352218151092529,216.20382368564606 -101.20953619480133 595.081627368927,-1
1,114,5,1.0,-0.16505631804466248 0.46187880635261536 -0.8714497089385986 0.7866422533988953 0.5946282744407654 0.16616669297218323 0.5949373841285706 -0.6580922603607178 -0.4614805281162262,28.48515473306179 -113.72127383947372 561.4240169525146,-1
1,114,6,1.0,-0.9583702683448792 -0.23405885696411133 -0.1635328233242035 0.13424193859100342 -0.8748475909233093 0.4654253125190735 -0.2520032227039337 0.42409682273864746 0.8698484301567078,207.90252089500427 -46.23563215136528 370.3646659851074,-1
1,114,8,1.0,-0.860062837600708 -0.5090518593788147 -0.0340309776365757 -0.12218466401100159 0.2702789604663849 -0.9549975991249084 0.49534112215042114 -0.8171999454498291 -0.2946552038192749,-130.47124445438385 -108.35083574056625 588.4279012680054,-1
1,141,1,1.0,0.9111530780792236 0.40502217411994934 -0.07587479799985886 0.05231982469558716 -0.2963515818119049 -0.9536447525024414 -0.4087328314781189 0.8649466037750244 -0.29121240973472595,58.77292528748512 -105.61719536781311 436.1761808395386,-1
1,141,2,1.0,-0.7065403461456299 0.5716609954833984 0.41713857650756836 -0.677705705165863 -0.7162928581237793 -0.16625112295150757 0.20375411212444305 -0.4001602530479431 0.8935076594352722,-185.48917770385742 -137.08852231502533 521.0954546928406,-1
1,141,3,1.0,-0.00510643795132637 -0.9923246502876282 0.12355519831180573 0.9741977453231812 -0.03281615301966667 -0.22329774498939514 0.22563844919204712 0.11922694742679596 0.9668879508972168,-0.17306480731349438 -81.74744248390198 353.7762761116028,-1
1,141,4,1.0,-0.7716195583343506 -0.3983505368232727 -0.49590328335762024 0.0543721541762352 -0.8180716633796692 0.5725404024124146 -0.6337562203407288 0.41482001543045044 0.6528993844985962,273.2459604740143 -44.57736760377884 374.6214509010315,-1
1,141,5,1.0,0.054805878549814224 0.6591960787773132 -0.749971330165863 0.9350966811180115 0.22949303686618805 0.27004992961883545 0.35012903809547424 -0.7160961031913757 -0.6038345098495483,124.66035038232803 -140.31881093978882 725.0111699104309,-1
1,141,6,1.0,-0.05439465492963791 -0.881305992603302 0.46940499544143677 0.17691273987293243 -0.4711698293685913 -0.8641186952590942 0.9827224612236023 0.0360402874648571 0.18154335021972656,215.38718044757843 -65.89249521493912 440.1967525482178,-1
1,141,7,1.0,-0.8779082298278809 0.47661465406417847 0.045995552092790604 -0.06642306596040726 -0.216349795460701 0.974053680896759 0.47419947385787964 0.8520746827125549 0.2215934693813324,-51.98773741722107 -133.546382188797 720.7531929016113,-1
1,141,8,1.0,-0.39986076951026917 0.19651994109153748 0.8952603936195374 0.8366124629974365 0.4772531986236572 0.2689034938812256 -0.37442100048065186 0.8565099239349365 -0.35524582862854004,-270.8609402179718 -41.58665984869003 558.3617687225342,-1
1,164,2,1.0,0.8247528076171875 0.5651470422744751 -0.019790831953287125 0.11116823554039001 -0.19635026156902313 -0.9742116332054138 -0.554458737373352 0.801283597946167 -0.2247668206691742,106.00154846906662 -87.65988051891327 432.46516585350037,-1
1,164,3,1.0,0.006927387788891792 -0.9810936450958252 0.19340971112251282 0.9768818616867065 -0.034687746316194534 -0.21094682812690735 0.21366752684116364 0.19039976596832275 0.9581722021102905,53.39300259947777 -65.77009707689285 352.4886965751648,-1
1,164,4,1.0,-0.7986081838607788 0.375713586807251 0.4701748788356781 -0.5421635508537292 -0.7882865071296692 -0.29096877574920654 0.2613115906715393 -0.4872816801071167 0.833230197429657,-134.17504727840424 -114.27021771669388 524.9099731445312,-1
1,164,5,1.0,0.7008359432220459 0.7121388912200928 0.04107767716050148 0.19840115308761597 -0.13929057121276855 -0.9701727628707886 -0.685175895690918 0.6880818605422974 -0.23890899121761322,-0.15038414858281612 -84.02752131223679 608.996570110321,-1
1,164,7,1.0,0.026165004819631577 -0.45359155535697937 -0.8908255696296692 0.9434431791305542 0.30582427978515625 -0.12800946831703186 0.330500066280365 -0.8370938897132874 0.4359397292137146,168.4289127588272 -97.53837436437607 624.3648529052734,-1
1,164,8,1.0,0.09610383212566376 0.9908485412597656 -0.09477995336055756 0.9953323006629944 -0.09481976181268692 0.017970189452171326 0.00881873071193695 -0.09606459736824036 -0.9953361749649048,-159.53128039836884 -19.625578075647354 402.5607109069824,-1
1,166,2,1.0,-0.9588988423347473 -0.2820904850959778 -0.030623847618699074 -0.08568240702152252 0.39075231552124023 -0.9164994359016418 0.27050212025642395 -0.8762065172195435 -0.39886218309402466,108.74200612306595 -101.10832005739212 478.27085852622986,-1
1,166,3,1.0,0.07563304156064987 -0.9834731221199036 0.16450031101703644 0.9747641682624817 0.03817358613014221 -0.2199491709470749 0.21003448963165283 0.17698444426059723 0.9615415334701538,56.925754994153976 -68.06652247905731 363.02295327186584,-1
1,166,4,1.0,-0.7998279333114624 0.3809729516506195 0.4638262987136841 -0.5441671013832092 -0.7863397002220154 -0.29249271750450134 0.2532932758331299 -0.4863428771495819 0.8362494111061096,-132.8052133321762 -114.5864799618721 527.0919799804688,-1
1,166,5,1.0,-0.7027262449264526 0.7114464044570923 -0.004463906399905682 0.2905130684375763 0.2812136709690094 -0.9146151542663574 -0.6494443416595459 -0.6440209746360779 -0.404300719499588,-10.505196638405323 -91.53588116168976 636.9853019714355,-1
1,166,7,1.0,-0.05649819225072861 -0.45859748125076294 -0.8868463635444641 0.9597846865653992 0.21971045434474945 -0.17475944757461548 0.2749936282634735 -0.8610550761222839 0.4277415871620178,-196.7572122812271 -20.266037434339523 463.08034658432007,-1
1,166,8,1.0,0.05434609204530716 -0.3541320860385895 -0.93361496925354 0.8255980610847473 0.5418407917022705 -0.1574687659740448 0.561635434627533 -0.7622329592704773 0.3218177258968353,146.39981091022491 -99.12342578172684 563.5914206504822,-1
1,167,2,1.0,-0.9612101316452026 -0.2736549377441406 -0.03446635603904724 -0.0749116912484169 0.37928158044815063 -0.9222438335418701 0.26544901728630066 -0.883888304233551 -0.3850693106651306,109.15394872426987 -100.41847079992294 478.6628782749176,-1
1,167,3,1.0,-0.810588538646698 0.3638959527015686 0.45883122086524963 -0.5240006446838379 -0.8005266785621643 -0.290827214717865 0.26147574186325073 -0.47616904973983765 0.8395794034004211,-131.0628056526184 -112.74776607751846 523.4847664833069,-1
1,167,4,1.0,-0.04115824028849602 -0.9825816750526428 0.1812163144350052 0.9923536777496338 -0.061322614550590515 -0.10711473971605301 0.11636164784431458 0.1754220426082611 0.9775925278663635,57.47772008180618 -66.64562225341797 363.0402386188507,-1
1,167,5,1.0,-0.7030909657478333 0.7107871174812317 -0.02108878269791603 0.3718026280403137 0.3421735465526581 -0.862948477268219 -0.606156587600708 -0.6145721077919006 -0.5048516988754272,-9.698612615466118 -91.79916232824326 633.8629722595215,-1
1,167,7,1.0,-0.18974824249744415 0.4503127634525299 0.8724758625030518 0.9806022644042969 0.042441561818122864 0.19135835766792297 0.04914187639951706 0.891861617565155 -0.44963088631629944,-142.00608432292938 -11.427454650402069 430.4979741573334,-1
1,167,8,1.0,-0.3565441370010376 -0.8831114172935486 -0.3049435019493103 -0.9163649082183838 0.2669466733932495 0.2983531951904297 -0.18207548558712006 0.3858156204223633 -0.9044305086135864,157.15685486793518 -94.01016682386398 582.9343795776367,-1
1,168,2,1.0,-0.8908696174621582 -0.45415255427360535 0.009839765727519989 -0.1895124465227127 0.35188883543014526 -0.9166566133499146 0.412839412689209 -0.8184863924980164 -0.399554580450058,111.0127717256546 -99.85969215631485 475.31551122665405,-1
1,168,3,1.0,-0.812766432762146 0.3516693413257599 0.4644775092601776 -0.5145730972290039 -0.8071699142456055 -0.2892945408821106 0.27317625284194946 -0.4741365313529968 0.8370001912117004,-130.46139478683472 -110.9187975525856 523.2096910476685,-1
1,168,4,1.0,-0.12657305598258972 -0.9833657741546631 0.13027320802211761 0.9896110892295837 -0.13420730829238892 -0.05155906081199646 0.06818506121635437 0.12239383161067963 0.9901366233825684,60.12321263551712 -69.14529204368591 371.50657176971436,-1
1,168,5,1.0,-0.6831585168838501 0.7300024032592773 -0.019775059074163437 0.39190006256103516 0.3436337113380432 -0.8534227609634399 -0.6162052154541016 -0.5907729268074036 -0.5208442211151123,-9.063650853931904 -91.36500954627991 634.4444751739502,-1
